,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,privacy,activity,satisfaction,lat_acc,lat_rej,id,pol_inclination
0,1.0,1.0,0.3478904268979076,-0.1040962267335617,-0.547326641678686,-0.27110608757730353,0.4105757767735091,0.4105757767735091,0,0.5777349875780773,1.4222650124219227,0,0.5450698971479099
1,0.5883677469859163,0.5239239986235373,0.04280198678657539,-0.4304130611513688,-0.1289028298282904,-0.0025189679305793796,0.1570955276411944,0.1570955276411944,0,0.6478493008886388,1.3521506991113612,1,0.28615476521771127
2,0.19850579499943538,0.12534990148095906,0.6105279689994256,-0.9157240655038517,-0.8528830624966802,-0.18907346125191868,0.27967632271528386,0.27967632271528386,0,0.4137007852343844,1.5862992147656156,2,0.48201070912204513
3,0.6657489984962817,0.4479679263303907,0.9777416139305971,-0.37968764161474783,-0.3272514157868996,-0.35482131898254826,0.20084506200993002,0.20084506200993002,0,0.5908535006909441,1.4091464993090559,3,0.5255364858569108
4,0.3613763016342013,0.08577125784738047,0.08640812687333259,-0.7761837933195695,-0.4233919745000805,-0.23316475906512982,0.5443147680229565,0.5443147680229565,0,0.6699261406486525,1.3300738593513475,4,0.327716035539949
5,0.07116982729080533,0.05761363653982304,1.0,-0.08340682216667167,-0.24124519511336487,-0.6401473181237137,0.3385416692527162,0.3385416692527162,0,0.5975438019535491,1.402456198046451,5,0.3489304665390631
6,0.1363132443581844,0.10843830214775929,0.05077657700441619,-0.8005259934939524,-0.5065288875453186,-0.12692724803155533,0.22616952372568322,0.22616952372568322,0,0.44883286109287795,1.551167138907122,6,0.288251708763531
7,0.10655859965147818,0.13310800654109636,0.4395791285242253,-0.12386172564859993,-0.5616577248637776,-0.23867750823818418,0.26699792750414364,0.26699792750414364,0,0.4238371983101078,1.5761628016898923,7,0.26724044891122695
8,0.11714887308129028,0.8417145636517019,0.8336911620428665,-0.16147002987937822,-0.09375949330456762,-0.4858916494609231,0.18185422293007725,0.18185422293007725,0,0.4385330287847502,1.5614669712152498,8,0.4222792952367879
9,0.5307923865824885,0.4988977618552422,0.6591774642231584,-0.44494133122776164,-0.7792736723396387,-0.5181027758677299,0.02398606505442824,0.02398606505442824,0,0.6900317988414204,1.3099682011585796,9,0.5718642320160032
10,0.0882244665594042,0.63384351548402,0.1430628294373257,-0.006923203170501197,-0.4123231119612606,-0.6034122707308878,0.05132893410058892,0.05132893410058892,0,0.48024931408632227,1.5197506859136778,10,0.31463156622389993
11,0.8959668779250465,0.9249317479045661,0.8852018959790934,-0.09961174668546909,-0.09692740718102646,-0.5601980879607963,0.09309581557350943,0.09309581557350943,0,0.46016945583166524,1.5398305441683346,11,0.5771396272726663
12,0.9715202955257729,0.11823188643815033,0.6086461801402223,-0.4006579995756379,-0.29863837603139143,-0.69528341596598,0.7165506591853147,0.7165506591853147,0,0.3166752858840293,1.6833247141159706,12,0.5154963589461925
13,0.20175287154414104,0.28873476187328045,0.23059739633766074,-0.07431945493151688,-0.3549646459894058,-0.9113002268164431,0.2523644663798763,0.2523644663798763,0,0.4497630542308763,1.5502369457691236,13,0.3436115595820747
14,0.346611679537017,0.493091748880686,0.506699938128233,-0.0733368325497409,-0.1291814210933953,-0.24340336465582496,0.26198315793027627,0.26198315793027627,0,0.4369743602630992,1.563025639736901,14,0.2987208308074828
15,0.24820956718466072,0.5808367597553071,0.12751990333150418,-0.023791243289958387,-0.06655226302122412,-0.3057941680914712,0.5059025834993929,0.5059025834993929,0,0.5902478641510649,1.409752135848935,15,0.22545065077902093
16,1.0,0.5704468502903882,0.36583229614586305,-0.44583672859916795,-0.44703073169063434,-0.9859248276656544,0.11893978385283366,0.11893978385283366,0,0.375016051547414,1.624983948452586,16,0.6358452390652847
17,0.10586239559923584,0.35881061479137927,0.4885599434105241,-0.18238956921617552,-0.4162251757759231,-0.28949156069022636,0.6317141199066078,0.6317141199066078,0,0.46078487914696004,1.53921512085304,17,0.3068898765805774
18,0.39992286665097615,0.1422748330866322,0.23196433406569572,-0.32432790294697,-0.9511701361824569,-0.20297058707697066,0.9862046894823492,0.9862046894823492,0,0.48087338990754785,1.519126610092452,18,0.3754384433349503
